Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
trade-login,Trade Login,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,not,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,,,Trade Login,Trade Login,,active
trade-register,Show More Benefits +,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,not,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,,,Show More Benefits +,Show More Benefits +,,active
free-samples,Step 1,<p>Get a free sample of our flooring styles delivered to your door to help you find your ideal flooring solution today.</p>,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,"Free flooring samples, vinyl flooring samples, laminate flooring samples, wood floor samples",TRUE,Title,Default Title,not,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,,,Step 1,Step 1,Get a free sample of our flooring styles delivered to your door to help you find your ideal flooring solution today.,active
privacy-notice,Compare,<p>Please find details here of our privacy notice which details the cookies used on this site and how we use your personal information.</p>,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,not,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,,,Compare,Compare,Please find details here of our privacy notice which details the cookies used on this site and how we use your personal information.,active
returns,Compare,"<p>Detailed information about the returns, refund and exchange policies in place at Factory Direct Flooring.</p>",Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,not,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,,,Compare,Compare,"Detailed information about the returns, refund and exchange policies in place at Factory Direct Flooring.",active
customer-reviews,Great,"<p>Read our latest, genuine customer reviews which are gathered and verified independently by Reviews.co.uk who invite all customers to write a review.</p>",Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,not,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,,,Great,Great,"Read our latest, genuine customer reviews which are gathered and verified independently by Reviews.co.uk who invite all customers to write a review.",active
terms-conditions,Compare,"<p>Welcome to our terms and conditions. Details about delivery, our returns and cancellation policy and product guarantees can be found here.</p>",Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,not,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,,,Compare,Compare,"Welcome to our terms and conditions. Details about delivery, our returns and cancellation policy and product guarantees can be found here.",active
sitemap,Sitemap,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,not,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,,,Sitemap,Sitemap,,active
parquet-flooring,Parquet Flooring,"<p>Parquet flooring is a sophisticated style, laying wooden tiles in a zig-zag pattern to provide a delightful, dynamic effect to any room. Browse our full range here.</p>",Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,not,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_parquet_18mm_natural_oak_brushed_oiled_engineered_51.jpg,1,Parquet Flooring,Parquet Flooring,"Parquet flooring is a sophisticated style, laying wooden tiles in a zig-zag pattern to provide a delightful, dynamic effect to any room. Browse our full range here.",active
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_parquet_18mm_natural_oak_brushed_oiled_engineered_53.jpg,2,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-frosted-oak-8mm-laminate-3516-xl-lifestyle-1.jpg,3,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-frosted-oak-8mm-laminate-3516-xl-lifestyle-2.jpg,4,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-faded-oak-8mm-laminate-3678-lifestyle-1.jpg,5,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige_herringbone_faded_oak_8mm_laminate_3678.png,6,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-ambient-oak-8mm-laminate-3766-xl-lifestyle-1.jpg,7,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-ambient-oak-8mm-laminate-3766-xl-lifestyle-2.jpg,8,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-smokey-oak-8mm-laminate-3860-xl-lifestyle-1.jpg,9,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-smokey-oak-8mm-laminate-3860-xl-lifestyle-2.jpg,10,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-classic-natural-oak-8mm-laminate-3861-xl-lifestyle-1.jpg,11,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-classic-natural-oak-8mm-laminate-3861-xl-lifestyle-2.jpg,12,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-tobacco-light-8mm-laminate-4764-xl-lifestyle-1.jpg,13,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-tobacco-light-8mm-laminate-4764-xl-swatch-1.jpg,14,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-coffee-oak-8mm-laminate-4766-lifestyle-xl-1.jpg,15,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-coffee-oak-8mm-laminate-4766-lifestyle-xl-2.jpg,16,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ultrafelt_battle_oak_parquet_cushioned_vinyl_bedroom.jpg,17,Parquet Flooring,,,
